# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_long_office_household.bag'
# timestamp tx ty tz qx qy qz qw
1341847980.7900 -0.6832 2.6909 1.7373 0.0003 0.8617 -0.5072 -0.0145
1341847980.8000 -0.6829 2.6910 1.7373 0.0002 0.8613 -0.5078 -0.0146
1341847980.8100 -0.6824 2.6913 1.7372 0.0004 0.8610 -0.5084 -0.0148
1341847980.8201 -0.6821 2.6914 1.7371 0.0003 0.8609 -0.5085 -0.0151
1341847980.8301 -0.6818 2.6915 1.7371 0.0002 0.8608 -0.5086 -0.0154
1341847980.8400 -0.6815 2.6917 1.7371 0.0002 0.8611 -0.5082 -0.0158
1341847980.8500 -0.6811 2.6918 1.7371 0.0001 0.8610 -0.5084 -0.0159
1341847980.8601 -0.6807 2.6920 1.7371 0.0001 0.8608 -0.5087 -0.0162
1341847980.8700 -0.6803 2.6922 1.7371 0.0006 0.8610 -0.5084 -0.0163
1341847980.8800 -0.6801 2.6920 1.7372 0.0001 0.8609 -0.5084 -0.0163
1341847980.8901 -0.6797 2.6921 1.7373 0.0000 0.8610 -0.5083 -0.0162
1341847980.9001 -0.6793 2.6923 1.7373 -0.0001 0.8610 -0.5084 -0.0162
1341847980.9100 -0.6789 2.6924 1.7374 -0.0002 0.8609 -0.5086 -0.0161
1341847980.9200 -0.6785 2.6925 1.7375 -0.0003 0.8607 -0.5088 -0.0160
1341847980.9300 -0.6782 2.6926 1.7374 -0.0004 0.8606 -0.5090 -0.0162
1341847980.9400 -0.6779 2.6927 1.7374 -0.0005 0.8607 -0.5088 -0.0165
1341847980.9500 -0.6775 2.6928 1.7374 -0.0001 0.8607 -0.5088 -0.0166
1341847980.9600 -0.6773 2.6929 1.7373 -0.0002 0.8610 -0.5084 -0.0170
1341847980.9700 -0.6768 2.6931 1.7374 -0.0001 0.8612 -0.5080 -0.0172
1341847980.9800 -0.6764 2.6932 1.7374 -0.0001 0.8610 -0.5083 -0.0171
1341847980.9900 -0.6759 2.6933 1.7375 -0.0002 0.8611 -0.5082 -0.0170
